TagNumber,Make,Year,Expired,TicketProcessing,TicketAll,Insurance,Horsepower,Torque,Length,Width,Weight,EngineSize,ABS,BreakAssist,GPS,CompanyNumber
976-DD,成運,200801,無,0,5,有,279.0KW,193.7kg-m,1220,250,17.0,11705,有,引擎排氣煞車,無,2552
KAA-7212,斯堪尼亞,201509,無,0,0,有,298.4kW(400HP),214.1kg-m,1220,250,17.0,12742,有,引擎排氣煞車,無,2552
Z5-220,國瑞,200302,無,0,1,有,187.6kw(255.0ps),76.0kg-m,1215,250,14.0,7961,無,引擎排氣煞車,無,2552
ZZ-877,VOLVO,199804,無,0,3,有,310kw,188.7kg-m,1220,250,17.0,12130,無,引擎排氣煞車,無,2552
418-XX,國瑞,201201,無,0,8,有,193.4kw(263.0ps),81.0kg-m,1220,250,16.0,7684,無,無,有,2590
819-TT,順益,201207,無,0,3,有,279.5kw(380ps),175kg-m,1220,250,17.0,12882,無,引擎排氣煞車,有,2590
825-TT,順益,201207,無,0,10,有,279.5kw(380ps),175kg-m,1220,250,17.0,12882,無,引擎排氣煞車,有,2590
833-TT,順益,201207,無,0,3,有,279.5kw(380ps),175kg-m,1220,250,17.0,12882,無,引擎排氣煞車,有,2590
835-TT,順益,201207,無,0,9,有,279.5kw(380ps),175kg-m,1220,250,17.0,12882,無,引擎排氣煞車,有,2590
858-TT,順益,201207,無,0,1,有,279.5kw(380ps),175kg-m,1220,250,17.0,12882,無,引擎排氣煞車,有,2590
859-TT,順益,201207,無,0,0,有,279.5kw(380ps),175kg-m,1220,250,17.0,12882,無,引擎排氣煞車,無,2590
A4-242,MITSUBISHI,199902,無,0,2,有,257.4kw(350ps),145kg-m,1220,250,17.0,11945,無,無,無,2590
101-RR,斯堪尼亞,201104,無,2,1,有,228.0kW,158.1kg-m,1220,250,17.0,8867,有,引擎排氣煞車,無,2626
398-RR,斯堪尼亞,201104,無,1,3,有,228.0kW,158.1kg-m,1220,250,17.0,8867,有,引擎排氣煞車,無,2626
412-XX,斯堪尼亞,201206,無,3,3,有,279.0kW,193.8kg-m,1220,250,17.0,11705,有,引擎排氣煞車,無,2626
441-V7,斯堪尼亞,201406,無,1,1,有,無資料,無資料,1220,250,17.0,12740,無,無,無,2626
503-V8,斯堪尼亞,201306,無,0,2,有,294.0kW,214.2kg-m,1220,250,17.0,12740,有,引擎排氣煞車,無,2626
505-W2,斯堪尼亞,201506,無,0,1,有,298.4kW(400HP),214.2kg-m,1220,250,17.0,12740,有,引擎排氣煞車,無,2626
508-V7,斯堪尼亞,201411,無,1,4,有,298.4kW(400HP),214.2kg-m,1220,250,17.0,12740,有,引擎排氣煞車,無,2626
527-V7,斯堪尼亞,201501,無,0,4,有,298.4kW(400HP),214.2kg-m,1220,250,17.0,12740,有,引擎排氣煞車,無,2626
613-V9,國瑞,201410,無,0,2,有,208.88kW(284PS),88kg-m,1220,250,16.0,7684,有,引擎排氣煞車,有,2626
622-V9,斯堪尼亞,201503,無,0,1,有,298.4kW(400HP),214.2kg-m,1220,250,17.0,12740,有,引擎排氣煞車,無,2626
720-V9,猛獅,201701,無,0,0,有,294kW,193.8kg-m,1220,250,17.0,10518,有,引擎排氣煞車,無,2626
860-V8,MAN,201501,無,0,2,有,294kW,193.8kg-m,1220,250,17.0,10518,有,引擎排氣煞車,無,2626
902-UU,斯堪尼亞,201201,無,0,1,有,279.0kW,193.8kg-m,1220,250,17.0,11705,有,引擎排氣煞車,無,2626
937-FF,福方,200501,無,0,4,有,250.0kW,163.2kg-m,1220,250,17.0,10640,無,引擎減速器,無,2626
